Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR21715475,2022-09-26 19:14:26,2022-09-26 18:25:19,38434,19217000,38434,500,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715475/SRR21715475.lite.1,SRX17712873,=A244&""_ITS2"",AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP399727,PRJNA884416,,884416,SRS15243256,SAMN31025577,simple,504342,Stephanocoenia intersepta,SFK017,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,814C1A026E07F28B4E20CE4013510C97,42625006EBAF8B63BF58A1DBD4834884
SRR21715479,2022-09-26 19:14:26,2022-09-26 18:25:22,1666739,60002604,0,36,16,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715479/SRR21715479.lite.1,SRX17712869,SFK022 _2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243261,SAMN31025582,simple,504342,Stephanocoenia intersepta,SFK022,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,810A80C17438DA9135AD8D4D755581F6,4399509B0B375E05FCD8360553A43207
SRR21715478,2022-09-26 19:14:26,2022-09-26 18:25:29,1914860,68934960,0,36,18,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715478/SRR21715478.lite.1,SRX17712870,SFK205.3_2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243076,SAMN31025765,simple,504342,Stephanocoenia intersepta,SFK205,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,2DAE4EF85CB5489213EA49B63CB1309E,E7C159D97527A0019EDE6A3898893586
SRR21715477,2022-09-26 19:14:26,2022-09-26 18:25:27,2168025,78048900,0,36,20,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715477/SRR21715477.lite.1,SRX17712871,SFK206 _2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243077,SAMN31025766,simple,504342,Stephanocoenia intersepta,SFK206,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,B3D9C028AF3F4B5E58344ED4582B757F,663CC86A2F93B5D5D768383574656EF6
SRR21715476,2022-09-26 19:14:26,2022-09-26 18:25:33,2840756,102267216,0,36,27,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715476/SRR21715476.lite.1,SRX17712872,SFK207 _2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243078,SAMN31025767,simple,504342,Stephanocoenia intersepta,SFK207,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,D9FE21058601C399A7F89E31E914DE3A,2AE6FF9E975821C5940C3C5AEAE321FC
SRR21715484,2022-09-26 19:14:26,2022-09-26 18:25:54,4395366,158233176,0,36,42,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715484/SRR21715484.lite.1,SRX17712864,SFK202 _2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243073,SAMN31025762,simple,504342,Stephanocoenia intersepta,SFK202,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,F2F4BCEF9171D0CC94F814CBAB1F3E90,90E39F716904C16E03D3F19EC6983B43
SRR21715483,2022-09-26 19:14:26,2022-09-26 18:27:07,7538978,271403208,0,36,72,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715483/SRR21715483.lite.1,SRX17712865,SFK203 _2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243074,SAMN31025763,simple,504342,Stephanocoenia intersepta,SFK203,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,4B82AC6975C4F9FBF4E4328841268F0D,E4924B8D6EBC5577BF860AFC7C65BC22
SRR21715482,2022-09-26 19:14:26,2022-09-26 18:25:07,960403,34574508,0,36,9,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715482/SRR21715482.lite.1,SRX17712866,SFK204 _2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243075,SAMN31025764,simple,504342,Stephanocoenia intersepta,SFK204,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,0D85B8ACAC8B871CE07B93216A87F0F0,E785B6952D1C884B5C8B12B458373D45
SRR21715480,2022-09-26 19:14:26,2022-09-26 18:26:10,5916719,213001884,0,36,56,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715480/SRR21715480.lite.1,SRX17712868,SFK205.2_2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243076,SAMN31025765,simple,504342,Stephanocoenia intersepta,SFK205,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,44069335DF47424B1CAB199B17405EC9,B12E70AA7EF82BAD31465BA2CDF5F7CE
SRR21715481,2022-09-26 19:14:26,2022-09-26 18:25:16,1856905,66848580,0,36,18,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715481/SRR21715481.lite.1,SRX17712867,SFK205.1_2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243076,SAMN31025765,simple,504342,Stephanocoenia intersepta,SFK205,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,9FC3B27350FF6DAD3BDB062F12201E53,8BF42413CFDACD9E2ADF87CA5447833C
SRR21715489,2022-09-26 19:14:26,2022-09-26 18:25:14,2002203,72079308,0,36,19,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715489/SRR21715489.lite.1,SRX17712859,SFK197 _2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243068,SAMN31025757,simple,504342,Stephanocoenia intersepta,SFK197,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,22B6205E3B16711838030FA25486EB02,4CCFF3EA489D8221C29BF7CA31D0D1C5
SRR21715488,2022-09-26 19:14:26,2022-09-26 18:24:52,411966,14830776,0,36,4,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715488/SRR21715488.lite.1,SRX17712860,SFK198 _2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243069,SAMN31025758,simple,504342,Stephanocoenia intersepta,SFK198,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,4F414F353D31FC0893E873A643D8782B,3960B1E2F1617DD39A15D12F2932092A
SRR21715487,2022-09-26 19:14:26,2022-09-26 18:25:25,1936808,69725088,0,36,18,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715487/SRR21715487.lite.1,SRX17712861,SFK199 _2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243070,SAMN31025759,simple,504342,Stephanocoenia intersepta,SFK199,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,BE6378B8DDFCD75D9F91BBB9DFC1757A,29D99F5701602F4CDC65A1E30045337A
SRR21715486,2022-09-26 19:14:26,2022-09-26 18:25:18,2188780,78796080,0,36,21,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715486/SRR21715486.lite.1,SRX17712862,SFK200 _2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243071,SAMN31025760,simple,504342,Stephanocoenia intersepta,SFK200,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,E652AA75797A1335FFC32A3B871A8EF3,EBD380CCCD87EDBA4BEC4218D08D2DEF
SRR21715485,2022-09-26 19:14:26,2022-09-26 18:25:49,3368943,121281948,0,36,32,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715485/SRR21715485.lite.1,SRX17712863,SFK201 _2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243072,SAMN31025761,simple,504342,Stephanocoenia intersepta,SFK201,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,11F5CA024680562230F2F1BCAF5A748F,3C01CA8786A1A75E796DB1E7D5B60111
SRR21715491,2022-09-26 19:14:26,2022-09-26 18:25:14,1489686,53628696,0,36,14,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715491/SRR21715491.lite.1,SRX17712857,SFK003 _2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243195,SAMN31025563,simple,504342,Stephanocoenia intersepta,SFK003,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,4793D8C3E1C86EE158E9864A3D2C9E78,70EA436E651D9546EFD37024B29D0230
SRR21715490,2022-09-26 19:14:26,2022-09-26 18:25:00,906302,32626872,0,36,8,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715490/SRR21715490.lite.1,SRX17712858,SFK021 _2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243260,SAMN31025581,simple,504342,Stephanocoenia intersepta,SFK021,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,F4CF8664C4998BF7FC7A82DF73D172AF,D8F54EB951669AD1915D8BE0E12C43E5
SRR21715494,2022-09-26 19:14:26,2022-09-26 18:25:23,1287364,46345104,0,36,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715494/SRR21715494.lite.1,SRX17712854,SFK194 _2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243065,SAMN31025754,simple,504342,Stephanocoenia intersepta,SFK194,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,9BD98200ABC7AE4D0577B1211AAB665E,4078FA1B0813B621A3EE915B15035E8F
SRR21715493,2022-09-26 19:14:26,2022-09-26 18:25:28,2599969,93598884,0,36,25,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715493/SRR21715493.lite.1,SRX17712855,SFK195 _2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243066,SAMN31025755,simple,504342,Stephanocoenia intersepta,SFK195,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,FE02EAB161A0300D216985AB56CC0E37,610AA9676491FCBB6FC6723A0B865408
SRR21715492,2022-09-26 19:14:26,2022-09-26 18:25:38,2551044,91837584,0,36,24,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715492/SRR21715492.lite.1,SRX17712856,SFK196 _2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243067,SAMN31025756,simple,504342,Stephanocoenia intersepta,SFK196,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,0D214980AB896E052F701C2836BF1C07,931ED659D06A5CF0311A878E3F2C0A51
SRR21715499,2022-09-26 19:14:26,2022-09-26 18:25:21,1835176,66066336,0,36,18,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715499/SRR21715499.lite.1,SRX17712849,SFK189 _2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243254,SAMN31025749,simple,504342,Stephanocoenia intersepta,SFK189,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,0BD537E808275BBA76B236B2950398D0,87760C0208D54FD26A2052AB8D255A3F
SRR21715498,2022-09-26 19:14:26,2022-09-26 18:25:22,1163203,41875308,0,36,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715498/SRR21715498.lite.1,SRX17712850,SFK190 _2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243255,SAMN31025750,simple,504342,Stephanocoenia intersepta,SFK190,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,76D7E59BED86A423B6196506857B21C2,3594B2913888A8408E8764FE93E2ADEE
SRR21715497,2022-09-26 19:14:26,2022-09-26 18:25:10,1272821,45821556,0,36,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715497/SRR21715497.lite.1,SRX17712851,SFK191 _2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243062,SAMN31025751,simple,504342,Stephanocoenia intersepta,SFK191,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,DA540A30EF7422D473DD431D08BC7072,D94378664F6959549CFAD6FBD492B79C
SRR21715496,2022-09-26 19:14:26,2022-09-26 18:25:09,1135293,40870548,0,36,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715496/SRR21715496.lite.1,SRX17712852,SFK192 _2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243063,SAMN31025752,simple,504342,Stephanocoenia intersepta,SFK192,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,CB25452C3401054C2FEC5F6F773B5F18,7F584D41D7B0F86EC84B77C76470238B
SRR21715495,2022-09-26 19:14:26,2022-09-26 18:25:02,944245,33992820,0,36,9,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715495/SRR21715495.lite.1,SRX17712853,SFK193 _2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243064,SAMN31025753,simple,504342,Stephanocoenia intersepta,SFK193,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,4ACBA326CB3F2226E259DCFD327424CF,5ADCAB5E184FF448EE5480F7EE1E50CB
SRR21715502,2022-09-26 19:14:26,2022-09-26 18:25:15,1278422,46023192,0,36,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715502/SRR21715502.lite.1,SRX17712846,SFK020 _2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243259,SAMN31025580,simple,504342,Stephanocoenia intersepta,SFK020,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,31DAC4DFFF4930EAF5569AC2C9A6F6CB,B691C4272679387A0645865F5CD33547
SRR21715504,2022-09-26 19:14:26,2022-09-26 18:25:11,1376691,49560876,0,36,13,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715504/SRR21715504.lite.1,SRX17712844,SFK185 _2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243250,SAMN31025745,simple,504342,Stephanocoenia intersepta,SFK185,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,E61C472500D3BFBBC3659FAF712D4BEB,C1A2F2AE260B103B75C0CB76B74A0CDF
SRR21715503,2022-09-26 19:14:26,2022-09-26 18:25:14,1642972,59146992,0,36,15,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715503/SRR21715503.lite.1,SRX17712845,SFK186 _2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243251,SAMN31025746,simple,504342,Stephanocoenia intersepta,SFK186,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,CBEAB71C5BD9AB7935D2B67EB0C6F38D,6D52EB4E2A1065D2044B5B0859C9E38B
SRR21715501,2022-09-26 19:14:26,2022-09-26 18:25:13,1313459,47284524,0,36,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21715/SRR21715501/SRR21715501.lite.1,SRX17712847,SFK187 _2bRAD,RAD-Seq,PCR,METAGENOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP399727,PRJNA884416,,884416,SRS15243252,SAMN31025747,simple,504342,Stephanocoenia intersepta,SFK187,,,,,,,no,,,,,FLORIDA ATLANTIC UNIVERSITY,SRA1507645,,public,CDE2DC8B8E5E54ED5BC9C8DEEF051415,70C6B0A9F54BD38AE893B83DD2117178
